Timestamp;Thumb Bending;Index Bending;Middle Bending;Ring Bending;Pinky Bending
15: 44: 18.040;0.109804;0.0745098;0;0;0.427451
15: 44: 18.059;0.694118;0.0509804;0;0;0.254902
15: 44: 18.077;0.658824;0.0235294;0;0;0.235294
15: 44: 18.096;0.658824;0.0235294;0;0;0.235294
15: 44: 18.115;0.141176;0.968627;0;0;0.619608
15: 44: 18.133;0.584314;0.917647;0;0;0.894118
15: 44: 18.152;0.584314;0.917647;0;0;0.894118
15: 44: 18.171;0.94902;0.913725;0.313726;0.568627;0.792157
15: 44: 18.190;0.584314;0.917647;0.262745;0.92549;0.792157
15: 44: 18.227;0.584314;0.917647;0.262745;0.92549;0.792157
15: 44: 18.246;0.407843;0.905882;0.898039;0.184314;0.403922
15: 44: 18.265;0.27451;0.858824;0.0117647;0.231373;0.419608
15: 44: 18.283;0.309804;0.819608;0.262745;0.537255;0.419608
15: 44: 18.302;0.309804;0.819608;0.262745;0.537255;0.419608
15: 44: 18.321;0.988235;0.796078;0.160784;0.662745;0.403922
15: 44: 18.377;0.988235;0.796078;0.160784;0.662745;0.403922
15: 44: 18.378;0.698039;0.815686;0.329412;0.0352941;0.47451
15: 44: 18.396;0.247059;0.835294;0.00392157;0.231373;0.341176
15: 44: 18.415;0.956863;0.847059;0.67451;0.2;0.407843
15: 44: 18.434;0.898039;0.811765;0.027451;0.0901961;0.329412
15: 44: 18.452;0.898039;0.811765;0.027451;0.0901961;0.329412
15: 44: 18.471;0.807843;0.788235;0.321569;0.0470588;0.341176
15: 44: 18.490;0.882353;0.776471;0.776471;0.996078;0.909804
15: 44: 18.565;0.882353;0.776471;0.776471;0.996078;0.909804
15: 44: 18.566;0.698039;0.815686;0.54902;0.933333;0.27451
15: 44: 18.584;0.72549;0.803922;0.364706;0.894118;0.407843
15: 44: 18.602;0.72549;0.803922;0.364706;0.894118;0.407843
15: 44: 18.621;0.941176;0.780392;0.592157;0.00392157;0.341176
15: 44: 18.640;0.72549;0.803922;0.0941176;0.0588235;0.27451
15: 44: 18.659;0.72549;0.803922;0.0941176;0.0588235;0.27451
15: 44: 18.677;0.960784;0.831373;0.407843;0.0588235;0.305882
15: 44: 18.696;0.960784;0.831373;0.407843;0.0588235;0.305882
15: 44: 18.715;0.988235;0.796078;0.658824;0.0235294;0.945098
15: 44: 18.734;0.596078;0.772549;0.113725;0.0235294;0.407843
